"ACAH","AEGC","ALCC","ALSB","AMPP","ANAE","ANNS","ANTP","APEM","ARR1","ARR2","ARRV","ASTG","BEIP","BROA","CAL1","CAS3","CELI","CERT","CHRC","CISE","COCP","COMD","CORA","CORB","CORL","COUC","CYDA","DAVN","DENA","DESP","DIPP","DOL1","DOL2","DOLO","DRYS","EUGC","EUGO","FARO","GUA2","GUAD","GUAS","HAM2","HASF","HEIC","HIPV","HIR1","HIRF","HIRG","HIRT","HYBP","INMA","JACC","LONL","LUE1","MACU","MARP","MASH","MASN","MENG","MENL","MOUM","OENM","PARP","PAU1","PAU3","PAUF","PAUR","PAUT","PHRC","PITC","PLAE","PLAP","POUA","POUU","PRIA","PRIC","PROT","PYFU","PYHO","QUA1","RANA","RIN2","SAPG","SCHM","SER1","SERM","SIMA","SORA","SPOM","SPOR","TABA","TABG","TABR","TERA","TERO","TET2","TETD","TETH","THIM","TRAA","TRI1","TRI3","TRIC","TYNC","VIR1","VIR2","ZAN1"
"21",0,0,0,63104.6666666973,0,0,597.5611111112,3,0,0,0,0,0,0,3,0,2468.9166666525,0,0,0,2,10,0,0,0,0,0,0,1,0,2,0,0,0,0,25,3.09375,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,4027.875,0,0,0,0,0,4,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,5,0,0,39,0,0,350.2057142897,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1905.3,0,0,1,1,7
"22",0,0,0,42252.8888889094,32,0,101,0,0,0,0,0,0,0,4,0,648.8499999961,1,0,0,21,23,0,0,0,0,0,1,0,261.25,1,5,0,0,318.72,6,8.15625,0,68,0,0,0,0,0,1,0,0,0,0,0,0,0,637.125,0,0,0,0,0,1,2,0,0,0,2,0,0,68.6,30,0,0,0,0,0,0,0,0,0,1,0,13.96,248.5714285725,0,0,0,0,0,0,0,1,0,38,0,0,0,0,0,3,0,0,0,0,0,1128,0,0,4,2,783
"23",0,11,0,24399.5555555674,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,21,0,0,0,0,0,0,0,8,0,1,0,0,4,0,4.125,0,333,0,3,0,0,0,0,0,0,0,0,0,0,0,200.375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,223.84,49.1657142858,0,0,0,0,0,0,0,14,0,29,0,0,0,0,0,0,0,0,0,0,0,48.4,0,0,4,0,6
"24",0,2.75,0,35798.2222222396,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,1.03125,0,278,0,0,0,3,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,12,1,0,0,15,0,0,0,0,0,0,1,0,50.16,4,0,0,0,0,0,1,0,26,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,7,0,0
"25",0,0,0,32113.1111111267,2,0,0,0,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,17,0,0,0,0,0,0,59,0,4,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,8,0,1,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,13,2,0,0,0,7,0,1,0,26.4,3,1,0
"26",0,0,0,24994.6666666788,1,0,0,0,745.64,0,6,13.6,0,0,0,0,0,0,0,31.56,0,0,0,0,0,0,0,8,3,0,0,38,0,0,0,0,0,9.88,11,37.55,5,0,0,0,45,2,0,0,0,1,0,0,0,0,0,0,3,0,23,2,0,11,1,0,0,2,0,0,2,0,0,0,1,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,6.3615873016,0,0,0,16,0,0,0,269,3,5,0
"27",0,0,0,15678.8888888965,20,2,0,0,1535.44,0,2,20.6,1,0,0,4,0,0,0,96.92,0,0,0,0,0,9,0,8,1,0,1,3,0,0,0,0,0,0,1,27,2,0,1,0,3,3,0,0,0,0,27,0,0,0,333.9875,2,0,0,1759,0,0,12,1,1,0,19,0,1,8.7023809524,3,26,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,56.0847619048,0,0,341.36,8,0,0,41,490.4,1,0,0
"28",0,0,1,16617.3333333414,10,15,0,0,2,1,0,8,2,0,51,0,0,0,0,3,0,1,11,9,7,69,0,10,1,0,0,0,0,0,0,0,2,1,0,43.4,1,0,0,15.7333333329,0,0,0,0,0,2,3258.65,0,0,0,3374.86,6,0,0,242,0,0,8,1,0,0,46,0,0,1,1,6,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,173,33,0,0,0,2,72,276,2,17,93.4463492064,0,10,43.52,1,0,0,108,213.8,0,6,0
"29",0,0,1606.6666666855,10231.3333333383,0,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,64,14,50,66,0,1,0,0,3,0,0,0,0,0,0,0,0,4,2,9,0,19.7333333329,0,0,0,0,0,0,0,2,0,6,788.99,0,7.6150641026,0,63,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,173,17,0,0,0,34.875,2,63,0,9,19.7231746032,0,0,10.88,2,0,0,3,27.4,0,0,0
"30",0,0,19.0000000002,37240.2222222403,0,3,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,72.7333333314,0,0,0,0,0,9,0,0,0,4.8,729.9625,0,11,0,5,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,8,3,0,0,0,0,0,6.1,0,0,0,8,0
"31",0,0,16,112910.888888944,0,0,0,0,0,0,0,5,0,0,741,0,32.2999999998,0,0,0,0,0,0,0,1,0,0,2,0,0,4.9166666667,1,0,0,0,0,0,0,0,0,0,1,0,84.1999999977,0,0,0,0,0,2,0,0,0,4.8,1788.895,0,10.8451923078,0,5,0,0,5,8,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,65.9885714296,157,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8.16,0,0,5.1,0,0,0,9,0
"32",0,0,0,162122.000000079,0,0,0,16.6333333333,0,0,0,4,0,1,2,0,16.1499999999,0,0,0,0,24,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1.03125,0,0,0,1,0,0,31.5333333332,0,0,0,0,0,4,0,0,7,0,1343.92,0,16.4602564104,0,0,0,0,7,33,8,0,0,0,0,0,33.1571428571,0,0,0,12,2,0,0,1,0,0,149.4628571462,103,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,22.6000000005,59.5,0,0,1,2,0
"33",0,0,0,67407.7777778105,2,0,0,1,0,1,2,0,0,0,0,0,198.7999999988,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,1,7,0,0,0,0,1,0,0,1.1333333333,1,0,0,0,0,0,0,0,145,0,421.975,0,0,0,6,0,0,0,32,14,0,0,0,0,0,0,0,0,0,0,1,0,0,17.2857142858,0,0,391.6971428619,8,0,0,0,0,2,0,2,12,3,0,0,0,0,0,0,0,41.6,0,0,12.0533333336,358.1,0,0,0,1,0
"34",0,2.75,0,53560.000000026,0,0,581.5611111112,4,0,0,1,1,0,0,20,0,43.0666666664,0,0,0,0,4,0,0,0,0,3,0,0,107.575,1,0,0,0,28,9,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,1,114,0,2,0,0,0,1,0,0,1,5,0,13.4375,2,0,9,0,0,0,0,0,0,0,0,0,1,0,16.92,593.0171428631,13,0,0,0,0,0,0,92,0,28,0,0,0,0,0,0,0,1,0,0,0,1142.2,0,0,8,1,0
"35",0,0,0,25177.77777779,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,41.975,0,2,89,0,8,0,0,0,41,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,97.36,47.0800000003,1,0,0,0,0,0,0,55,0,4,0,0,0,0,0,0,0,0,0,0,6.0266666668,21.7,0,0,29,2,0
"36",0,0,0,11238.4444444499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,1,2,0,0,3,0,1,0,0,0,0,0,73,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5200000001,1,0,0,22,0,0
"37",0,9.5,0,16525.7777777858,9,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,122,3,0,0,2,1,0,0,0,0,0,1.44,43,1,1,0,2,15.1999999997,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,10.6,0,1,3,0,0,62.8,42,0,0
